,features,label
1255,भक्त के मुताबिक मोद योग देश के बाप बोल योग मोद देश के पाप है😜 swara chup kar,NONE
61,amplifi support retweet no casteist misogynist shit name stand up comedi show #arrest abish math jb sara din hindu dharam ko galat bolt ho tb hindu dharma aur anya dharma galat galat hai aur galat hi rahegng,HOF
5266,public fight covid pm fight elect what mamta,NONE
3836,who rana ayyub a scamster amp alleg journalist scam intern fake fund raiser she bio,HOF
3200,doctor aur scientist se manga hai chuti se nahi baith nich pooja unpad pm ko scientist ki bhasa thodi samajh ayegi behen 😹😹😹😹😹 suman pooja aur chutya,HOF
2314,पहल बार बंगाल के लाख किस भाइय योज लाभ मिल शुर है। इत वर्ष किसान लाभ वंच रख गया। विषय जोरदार तरीक रख था। पीएम किस सम्म निध लाभ वह के किसान मिल लग संतोष विषय है। श्र सत् साब हों चुक कांग्रेस देश नुकस लोग lक् जरूरत पोस्ट वक्त भाई किस ट्विटर नह देख l हां देश आपक #manipulatedmedia के अच्छ समझ चुक शुरुआत चुक lआपद अवसर बखूब देख लोग l,NONE
1176,charli hebdo publish do stand franc saar all say yes i would say pictur tweet handl yes stand franc baaki tere baap ke naukar nai ❤ de ki jo tu bolega woh kre apna entitl apn pichwad de le,HOF
3725,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm it protocol,NONE
5200,public fight covid pm fight elect redefin role welcom new india,HOF
5034,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist the document complet fake in difficult time work peopl spread fake news sharam karo apn bacho ko sharminda karn ke kaam band karo fake doctor spread fake document document genuin hei,NONE
2897,countri twitter ban china north korea iran it requir special categori neechta put india leagu he want divert 😤😤,HOF
4944,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist destroy imag modi do u think someon tri destroy 😂😂 all imag fake amp real come the world know real imag modi thank rahul gandhi he respons revel 🙏 boot licker pappu,HOF
2377,wtf nonsens go countri sabka number ayega agar muslim nahi mileng toh ab hinduon ki hi vaat lagayeng mean,HOF
3671,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm mam thing state cm bjp rule wrng non bjp delhi maharastra rajasthan bjp rule state wnt rais issu onus contri state delhi got chanc spoke truth,NONE
1231,भक्त के मुताबिक मोद योग देश के बाप बोल योग मोद देश के पाप है😜 swara चमच के मुताबिक पप्प राजम देशप्रेम बोल पप्प राजम देश के के भड़व गद्दार देश द्रोह दलाल लुटेर हे सत् हे,HOF
733,proud hindu we proud nathuram godse🙏 #नाथूराम गोडस अमर रह for idiot trend #नाथूराम गोडस अमर रह #terrorist gods,HOF
5338,oxygen requir today sc hear matter next week citizen tv anchor bail hear the imag plant tree post pretti beauti,NONE
4350,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। बत नह मुफ्त वितरण के ऑक्सिजन आय क्योंक लोग हाह मच ऑक्सिजन नहीं🙄 सोच पूंछ लूं😉😎 modi se kyou nhi pucht ho vo jerur bta dege,HOF
4871,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist sir tarnish modiji imag tarnish india imag modi head state fore relat,NONE
2836,twitter new east india compani pretend defend us nativ elect govt sell us largest bidder it law it decid law follow defi amp law made in short twitter decid india ru well said the govt seem wait nation polici declar twitter did anyon see one firm action govt year deal social media anti nation element spew venom spread falsehood disgust who distribut anti nation certif shame a histori lesson bjp rss befor call somebodi els nation antin would like see certif first,NONE
4387,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। झूठ मुंह काल,HOF
527,proud son bharat retweet maximum repeat #नाथूराम गोडस अमर रह murder,HOF
2638,you fuck them amp that was the worst thing you ever did #isreal sameet we hate india 🖕#fuckindia #freepalestin,HOF
2351,wtf nonsens go countri bring law hindu prime minist lie hindu janta hindustan bring law tht god sake donot behav like stupid person,HOF
2548,israel murdabad #indiastandswithpal inc israel murdabad tha hai or kayamat tak rahega #indiastandswithpalestin,HOF
4801,just india sent assist unit state hospit strain earli pandem determin help india time need thank much sir you ignor stupid pm campaign facist donald trump win usa elect you kept countri invidu retard it pm diplomaci good relat usa forc help india fascism exist islam countri usa india,HOF
2764,just realis #twitterban news made mani #tukdetukd gang becom pro modi sudden worri abt wellb concern also want suffer repercuss such love modi unseen आपक दुक q ऐस कौनस जगह राज् जह बीजेप के प्रोटेस्ट नह,NONE
803,ration countri that believ educ matter,NONE
857,ration countri iss desh gadho ki koi kami nahi hai kyu,HOF
5179,public fight covid pm fight elect visibl frustrat store energi nd may more frustrat news come,NONE
2405,wtf nonsens go countri can thing like improv healthcar educ farman कंडोम लग भाई कंडोम,HOF
2518,बाप साउद के ऑक्सीजन जी बेट इज़राइल के ऑक्सीजन आ साऊद अरब बोल अब्ब के घर आई भारत मदद सऊद अरब भारत लाख वैक्स कमर्श सप्ल feb लाख mar लाख। हाँ ऑक्सीजन आई अद के जहाज़ चोम कह,HOF
5633,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon जी🙏आप जल्द लौट आयेंगे।आपक स्वागत आपक दर्शक प्रशंसक बेसब्र आपक आन इंतज़ार हैं।बस हिम्मत बन रखिएगा।आप जल्द स्वस्थ हो मुस्कुर #dna आकर कह ठीक हो लौट आय सुधीर चौधर dnaम स्वागत हैं😊 hey photo n sudhir choudhari for ever mislead he aliv n recov world you use someth els show ur affect,NONE
4016,india need vaccin i think contracept vaccin,NONE
219,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood is one mayawati whole world or name copyright my maid name also mayawati now i should i turn job,NONE
3716,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm you better arrang secur nd may i scare loos elect may bengali peopl slap,NONE
1115,no hindu still go attack charli hebdo pun fool like izlam bigot no one may love us hindutva love vajpai the reason bhakt keep calm becz franc far reach react but would happen cartoon publish indian india bhakt would start troll,NONE
582,cow urin disgust camel urin wowww #pragyathakur thank katlulibhakt🙂 it pleasur dumb man😌,HOF
4246,you may think even someon opposit ideolog help human but human human poison snake this vinod dua said atal bihari vajpaye ji die they even spare dead cheer bjp worker kill vinod dua hatr reduc even icu bed and peopl alway recov live long spread hatr spew venom,HOF
43,amplifi support retweet no casteist misogynist shit name stand up comedi show #arrest abish math but joke other religion god goddess whi protest stand comedian target hindu god,HOF
1328,modi coward psycopath get well soon khasi ka illaz hogya dimag ka abhi baki hai 😊,NONE
1362,modi coward psycopath pathet moron u talk modi coward abe tu kya hai pehl apn andhar jhaank nirbhaya ke rapist ko reward karta hai,HOF
1717,ok liber anti hindu nice hear swara,NONE
5025,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist छूटिय संब पात्र cell coli बोलद फेक न्यूज़ पोस्ट कर ।तुम फर्ज तुम्हार pm पा फर्ज #bjptoolkitexpos sambit shameless moron what,HOF
4956,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist congress agreement china sing pappu rajmata advoc chines wrong congress go blame china they cannot call virus chines virus shut mouth yuan rahul the virus renam #wuhanvirus accord place origin,NONE
1071,all muslim christian peopl make fun hinduism charli hebdo cartoon know offens peopl rais question god capabl make oxygen help human on time right time also matter hinduism,NONE
718,proud hindu we proud nathuram godse🙏 #नाथूराम गोडस अमर रह अपराध था।,NONE
4162,india need vaccin but india doesn't need terrorist,NONE
4254,you may think even someon opposit ideolog help human but human human poison snake this vinod dua said atal bihari vajpaye ji die they even spare dead cheer bjp worker kill vinod dua hatr reduc even icu bed क्याबीजेप सुन,HOF
670,स्वामीनारायण संप्रदाय bap के अमेरिक बन मंदिर दल मज़दूर ग़ुलाम कर के केस जाँच fbi स्थाप भग नह यूप जन्म घनश्याम पांड थी। sc st obc संस्थ प्रमुख नह बन सकता। चंद श्रम दान हैं। भारत भग कह ना कह दुक लग पड़ पाप पेट सवाल,HOF
3573,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm modi se maafi kyo maangi modi protocol ka havala deke khud ki naakaami chupaana chahata tha desh ko maalum toh padna chahaiy ki kisn yeh blunder kiya hain kon jimmedar hain ak ne achha kiya meet ko live kiya kaayed se istifa maang na chahaiy modi se,NONE
3001,countri ban twitter china iran north korea turkmenistan modi ghulam bhakt want #bantwitterinindia amp make india join list whi declar india authoritarian regim drop facad democraci #istandwithtwitterind you leav india settl countri use twitter if ban hum india hi use kareng when technolog go help,NONE
4342,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। बत नह मुफ्त वितरण के ऑक्सिजन आय क्योंक लोग हाह मच ऑक्सिजन नहीं🙄 सोच पूंछ लूं😉😎 saudi arabia se aya 😉😜,HOF
3139,doctor aur scientist se manga hai chuti se nahi baith nich pooja just see amount #comment #retweet #love react 's tweet and tweet pooja also reiter screenshot,NONE
897,लो कह आसाराम बाप जेल निकाल भोल मासूम 😂 jab padh likh log esi murakhtapurn baat karat h to bara dukh hota h ki us laraki ki puri kahani enhon sayad padhi nhi jo pirit thi,NONE
95,#नील बकलोल दिवस bloodi brahmin listen this show much hatr u r carri forward if someth bad earlier societi u r reviv bad legaci come dud matur n be vocal injustic brahmin shudra dalit whoever,NONE
5022,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist फर्ज तुम्हार pm पा फर्ज हमेश कागज फर्ज #bjptoolkitexpos inc तुम्हार पा फ़र्ज़ नह fir कॉप दिख । fir ना तुम्हार फ़र्ज़ पा,HOF
2053,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् भग राम राम ऐस अभद्र भाष सुप्र जी बापर हमार बच्च टीव देख असर पड़ बेचार,NONE
842,ration countri i'm sure it'd boost immun sure keep peopl distanc 😝,NONE
2225,wow it cell patholog liar and sore loser #bengal suara ever sad time peopl go much stress pandem can't think anyth els it display kind upbring i piti,HOF
3796,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm veri simpl answer put blame centr state failur becom hero। confidenti meet meant put public forum alreadi know henc say sorryand keep meet becom war zone polit outcom zero।,NONE
4760,just india sent assist unit state hospit strain earli pandem determin help india time need wtg excel job presid biden you best,NONE
5008,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist फर्ज तुम्हार pm पा फर्ज हमेश कागज फर्ज #bjptoolkitexpos inc jo rahul gandhi ko papa maanl uss kya baat krni😂,NONE
2723,just realis #twitterban news made mani #tukdetukd gang becom pro modi sudden worri abt wellb concern also want suffer repercuss such love modi unseen आपक दुक sir kafi ninda book per law,NONE
4310,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। sir usk saath ese logo per legal action lena chaiy,NONE
4370,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। सेव शक् है। शुभकाम,NONE
322,you ugli mind botox kilo foundat makeup hide inher ugli grotesqu cast bone how obtus #arrestmunmundu आदम के गुर्द हमेश छिल रह,HOF
4161,india need vaccin kagaz apk pass 😂😂😂,NONE
2519,बाप साउद के ऑक्सीजन जी बेट इज़राइल के ऑक्सीजन आ साऊद अरब बोल अब्ब के घर आई भारत मदद सऊद अरब भारत लाख वैक्स कमर्श सप्ल feb लाख mar लाख। हाँ ऑक्सीजन आई अद के जहाज़ चोम कह बाप अर्थ abdul के कंध बेट इज़राईल के खड़,HOF
2886,twitter new east india compani pretend defend us nativ elect govt sell us largest bidder it law it decid law follow defi amp law made in short twitter decid india ru whi u fcuk back koo poo app,HOF
